author,belong,booktitle,id,title,university,year
"Bang Wang,Kee Chaing Chua,Vikram Srinivasan,Wei Wang",Wei Wang 0002,Wireless Communications and Mobile Computing,34,Scheduling sensor activity for information coverage of discrete targets in sensor networks.,Nanjing University,2009
"Kun Tan,He Liu,Ji Fang,Wei Wang,Jiansong Zhang,Mi Chen,Geoffrey M. Voelker",Wei Wang 0002,MobiCom,35,SAM: enabling practical spatial multiple access in wireless LAN.,Nanjing University,2009
"Kun Tan,Jiansong Zhang,Ji Fang,He Liu,Yusheng Ye,Shen Wang,Yongguang Zhang,Haitao Wu,Wei Wang,Geoffrey M. Voelker",Wei Wang 0002,NSDI,36,Sora: High Performance Software Radio Using General Purpose Multi-core Processors.,Nanjing University,2009
"Wei Wang,Lawrence Ong,Mehul Motani",Wei Wang 0002,WiOpt,37,Transmission schedule optimization for half-duplex multiple-relay networks.,Nanjing University,2009
"Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,IEEE Trans. Mob. Comput.,38,Power Control for Distributed MAC Protocols in Wireless Ad Hoc Networks.,Nanjing University,2008
"Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,IEEE Trans. Mob. Comput.,39,Coverage in Hybrid Mobile Sensor Networks.,Nanjing University,2008
"Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,IEEE/ACM Trans. Netw.,40,Extending the lifetime of wireless sensor networks through mobile relays.,Nanjing University,2008
"Wei Wang,Vikram Srinivasan,Bang Wang,Kee Chaing Chua",Wei Wang 0002,IEEE Trans. Wireless Communications,41,Coverage for target localization in wireless sensor networks.,Nanjing University,2008
"Wei Wang,Mehul Motani,Vikram Srinivasan",Wei Wang 0002,ACM Conference on Computer and Communications Security,42,Dependent link padding algorithms for low latency anonymity systems.,Nanjing University,2008
"Bang Wang,Kee Chaing Chua,Vikram Srinivasan,Wei Wang",Wei Wang 0002,IEEE Trans. Wireless Communications,43,Information Coverage in Randomly Deployed Wireless Sensor Networks.,Nanjing University,2007
"Wei Wang,Vikram Srinivasan,Kee Chaing Chua,Bang Wang",Wei Wang 0002,IPSN,44,Energy-efficient coverage for target detection in wireless sensor networks.,Nanjing University,2007
"Bang Wang,Vikram Srinivasan,Kee Chaing Chua,Wei Wang",Wei Wang 0002,LCN,45,Information Coverage and Network Lifetime in Energy Constrained Wireless Sensor Networks.,Nanjing University,2007
"Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,MobiCom,46,Trade-offs between mobility and density for coverage in wireless sensor networks.,Nanjing University,2007
"Wei Wang,Vikram Srinivasan,Mehul Motani",Wei Wang 0002,MobiCom,47,Adaptive contact probing mechanisms for delay tolerant applications.,Nanjing University,2007
"Bang Wang,Kee Chaing Chua,Vikram Srinivasan,Wei Wang",Wei Wang 0002,EWSN,48,Sensor Density for Complete Information Coverage in Wireless Sensor Networks.,Nanjing University,2006
"Wei Wang,Vikram Srinivasan,Bang Wang,Kee Chaing Chua",Wei Wang 0002,IPSN,49,Coverage for target localization in wireless sensor networks.,Nanjing University,2006
"Bang Wang,Kee Chaing Chua,Vikram Srinivasan,Wei Wang",Wei Wang 0002,WiOpt,50,Scheduling sensor activity for point information coverage in wireless sensor networks.,Nanjing University,2006
"Bang Wang,Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,IEEE Communications Letters,51,Information coverage for wireless sensor networks.,Nanjing University,2005
"Wei Wang,Vikram Srinivasan,Kee Chaing Chua",Wei Wang 0002,MobiCom,52,Using mobile relays to prolong the lifetime of wireless sensor networks.,Nanjing University,2005
"Bang Wang,Kee Chaing Chua,Wei Wang,Vikram Srinivasan",Wei Wang 0002,MSN,53,Worst and Best Information Exposure Paths in Wireless Sensor Networks.,Nanjing University,2005
"Bang Wang,Kee Chaing Chua,Vikram Srinivasan,Wei Wang",Wei Wang 0002,MSN,54,Localized Recursive Estimation in Wireless Sensor Networks.,Nanjing University,2005
"Seungwon Lee,Lei Pan,Chengxing Zhai,Benyang Tang,Terry Kubar,Jia Zhang,Wei Wang",Wei Wang 0003,Big Data,55,Climate model diagnostic analyzer.,State University of New York at Albany,2015
"Jia Zhang,Wei Wang,Xing Wei,Chris Lee 0002,Seungwon Lee,Lei Pan,Tsengdar J. Lee",Wei Wang 0003,ICWS,56,Climate Analytics Workflow Recommendation as a Service - Provenance-Driven Automatic Workflow Mashup.,State University of New York at Albany,2015
"Benjamin Backes,Colin McDonough,Larry Smith 0004,Wei Wang,Robert E. Geer",Wei Wang 0003,J. Electronic Testing,57,Effects of Copper Plasticity on the Induction of Stress in Silicon from Copper Through-Silicon Vias (TSVs) for 3D Integrated Circuits.,State University of New York at Albany,2012
"Zine Abid,Ming Liu,Wei Wang",Wei Wang 0003,IEEE Trans. Computers,58,3D Integration of CMOL Structures for FPGA Applications.,State University of New York at Albany,2011
"Sansiri Tanachutiwat,Ming Liu,Wei Wang",Wei Wang 0003,IEEE Trans. VLSI Syst.,59,FPGA Based on Integration of CMOS and RRAM.,State University of New York at Albany,2011
"Le Yu,Haigang Yang,Jia Zhang,Wei Wang",Wei Wang 0003,VLSI-SoC,60,Performance evaluation of air-gap-based coaxial RF TSV for 3D NoC.,State University of New York at Albany,2011
"Jia Zhang,Le Yu,Haigang Yang,Y. L. Xie,F. B. Zhou,Wei Wang",Wei Wang 0003,VLSI-SoC,61,Self-test method and recovery mechanism for high frequency TSV array.,State University of New York at Albany,2011
"Sansiri Tanachutiwat,Ji Ung Lee,Wei Wang,Chun Yung Sung",Wei Wang 0003,DAC,62,Reconfigurable multi-function logic based on graphene P-N junctions.,State University of New York at Albany,2010
"Harika Manem,Garrett S. Rose,Xiaoli He,Wei Wang",Wei Wang 0003,ACM Great Lakes Symposium on VLSI,63,Design considerations for variation tolerant multilevel CMOS/Nano memristor memory.,State University of New York at Albany,2010
"Le Yu,Haigang Yang,Tom T. Jing,Min Xu,Robert E. Geer,Wei Wang",Wei Wang 0003,ICCAD,64,Electrical characterization of RF TSV for 3D multi-core and heterogeneous ICs.,State University of New York at Albany,2010
"Wei Wang,Tom T. Jing,Brian Butcher",Wei Wang 0003,ISCAS,65,cFPGA: CNT emerging memory-based FPGA.,State University of New York at Albany,2010
"Wei Wang,Tom T. Jing,Brian Butcher",Wei Wang 0003,ISCAS,66,FPGA based on integration of memristors and CMOS devices.,State University of New York at Albany,2010
"Weng Hong Teh,Raymond Caramto,Jamal Qureshi,Sitaram Arkalgud,M. O'Brien,T. Gilday,Kou Maekawa,T. Saito,Kouichi Maruyama,Thenappan Chidambaram,Wei Wang,David Marx,David Grant,Russ Dudley",Wei Wang 0003,3DIC,67,"A route towards production-worthy 5 ?m ¡Á 25 ?m and 1 ?m ¡Á 20 ?m non-Bosch through-silicon-via (TSV) etch, TSV metrology, and TSV integration.",State University of New York at Albany,2009
"Sansiri Tanachutiwat,Shuhong Liu,Robert E. Geer,Wei Wang",Wei Wang 0003,ISCAS,68,Monolithic Graphene Nanoribbon Electronics for Interconnect Performance Improvement.,State University of New York at Albany,2009
"Ming Liu,Haigang Yang,Sansiri Tanachutiwat,Wei Wang",Wei Wang 0003,NANOARCH,69,FPGA based on integration of carbon nanorelays and CMOS devices.,State University of New York at Albany,2009
"Ming Liu,Haigang Yang,Sansiri Tanachutiwat,Wei Wang",Wei Wang 0003,NanoNet,70,Carbon Nanotube Nanorelays with Pass-Transistor for FPGA Routing Devices.,State University of New York at Albany,2009
"Zine-Eddine Abid,Wei Wang",Wei Wang 0003,I. J. Network Security,71,Countermeasures for Hardware Fault Attack in Multi-Prime RSA Cryptosystems.,State University of New York at Albany,2008
"Liwei Shang,Ming Liu,Sansiri Tanachutiwat,Wei Wang",Wei Wang 0003,ISCAS,72,Analyzing mixed carbon nanotube bundles: A current density study.,State University of New York at Albany,2008
"Zine Abid,Wei Wang",Wei Wang 0003,ISCAS,73,New designs of Redundant-Binary full Adders and its applications.,State University of New York at Albany,2008
"Ming Liu,Wei Wang",Wei Wang 0003,NANOARCH,74,rFGA: CMOS-nano hybrid FPGA using RRAM components.,State University of New York at Albany,2008
"Kevin Ryan,Sansiri Tanachutiwat,Wei Wang",Wei Wang 0003,NanoNet,75,3D CMOL Crossnet for Neuromorphic Network Applications.,State University of New York at Albany,2008
"Ming Liu,Hua Yu,Wei Wang",Wei Wang 0003,NanoNet,76,FPAA Based on Integration of CMOS and Nanojunction Devices for Neuromorphic Applications.,State University of New York at Albany,2008
"Sansiri Tanachutiwat,Wei Wang",Wei Wang 0003,NanoNet,77,Exploring Multi-layer Graphene Nanoribbon Interconnects.,State University of New York at Albany,2008
"Sining Liu,Brian King,Wei Wang",Wei Wang 0003,MONET,78,Hardware Organization to Achieve High-Speed Elliptic Curve Cryptography for Mobile Devices.,State University of New York at Albany,2007
"Chen Dong,Deming Chen,S. Haruehanroengra,Wei Wang",Wei Wang 0003,IEEE Trans. on Circuits and Systems,79,3-D nFPGA: A Reconfigurable Architecture for 3-D CMOS/Nanomaterial Hybrid Digital Circuits.,State University of New York at Albany,2007
"Chen Dong,Deming Chen,Sansiri Tanachutiwat,Wei Wang",Wei Wang 0003,ICCAD,80,Performance and power evaluation of a 3D CMOS/nanomaterial reconfigurable architecture.,State University of New York at Albany,2007
"Dayong Li,Ming Liu,Wei Wang",Wei Wang 0003,ISCAS,81,Fault Tolerance Circuit for AM-OLED.,State University of New York at Albany,2007
"Wei Wang,Ming Liu,Andrew Hsu",Wei Wang 0003,J. Comput. Sci. Technol.,82,Hybrid Nanoelectronics: Future of Computer Technology.,State University of New York at Albany,2006
"Sining Liu,Brian King,Wei Wang",Wei Wang 0003,DASC,83,A CRT-RSA Algorithm Secure against Hardware Fault Attacks.,State University of New York at Albany,2006
"Chen Dong,S. Haruehanroengra,Wei Wang",Wei Wang 0003,ISCAS,84,Exploring carbon nanotubes and NiSi nanowires as on-chip interconnections.,State University of New York at Albany,2006
"Sining Liu,Francis Bowen,Brian King,Wei Wang",Wei Wang 0003,ISCAS,85,Elliptic curves cryptosystem implementation based on a look-up table sharing scheme.,State University of New York at Albany,2006
"Shahab Salehi,B. M. Handjojo,Wei Wang,Yaobin Chen",Wei Wang 0003,ISCAS,86,An efficient adaptive interlace-to-progressive scan conversion scheme and hardware implementation.,State University of New York at Albany,2006
"Rumi Zhang,Graham A. Jullien,Wei Wang,Anestis Dounavis",Wei Wang 0003,ISCAS,87,Passive reduced-order macromodeling algorithm for structure dynamics in MEMS systems.,State University of New York at Albany,2006
"Wei Wang,Adam Maina Ari,Woon Ket Wong",Wei Wang 0003,Nano-Net,88,On-Chip Interconnects and Repeaters Based on NiSi Nanowires.,State University of New York at Albany,2006
"Ying Yang,Zine-Eddine Abid,Wei Wang",Wei Wang 0003,ACM Great Lakes Symposium on VLSI,89,Two-prime RSA immune cryptosystem and its FPGA implementation.,State University of New York at Albany,2005
"Rumi Zhang,Wei Wang,Konrad Walus,Graham A. Jullien",Wei Wang 0003,ISCAS (3),90,Performance comparison of quantum-dot cellular automata adders.,State University of New York at Albany,2005
"Yonghong Yang,Zine Abid,Wei Wang,Z. Zhang,C. Yang",Wei Wang 0003,ISCAS (5),91,Efficient multi-prime RSA immune against hardware fault attack.,State University of New York at Albany,2005
"Shaoqiang Bi,Warren J. Gross,Wei Wang,Asim J. Al-Khalili,M. N. S. Swamy",Wei Wang 0003,IWSOC,92,An Area-Reduced Scheme for Modulo 2n-1 Addition/Subtraction.,State University of New York at Albany,2005
"Wei Wang,Xiaolin Zhang 0002,Chenyang Yang,M. N. S. Swamy,M. Omair Ahmad",Wei Wang 0003,SNPD,93,RRNS Quasi-Chaotic Coding and Its FPGA Implementation.,State University of New York at Albany,2005
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad",Wei Wang 0003,"Journal of Circuits, Systems, and Computers",94,Novel Design and Fpga Implementation of Da-rns Fir Filters.,State University of New York at Albany,2004
"Shaoqiang Bi,Wei Wang,Asim J. Al-Khalili",Wei Wang 0003,ICASSP (5),95,New modulo decomposed residue-to-binary algorithm for general moduli sets.,State University of New York at Albany,2004
"Shaoqiang Bi,Wei Wang,Asim J. Al-Khalili",Wei Wang 0003,ISCAS (2),96,Modulo deflation in (2,State University of New York at Albany,2004
"Daniel Dai,Yehea I. Ismail,Wei Wang,Hanif M. Ladak",Wei Wang 0003,ISCAS (3),97,Powder-based fabrication techniques for single-wall carbon nanotube circuits.,State University of New York at Albany,2004
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad",Wei Wang 0003,IWSOC,98,RNS Application for Digital Image Processing.,State University of New York at Albany,2004
"Yonghong Yang,Zine-Eddine Abid,Wei Wang",Wei Wang 0003,SNPD,99,An Immune CRT-Based Three-prime RSA cryptosystem.,State University of New York at Albany,2004
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad",Wei Wang 0003,ISCAS (4),100,Moduli selection in RNS for efficient VLSI implementation.,State University of New York at Albany,2003
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad,Yuke Wang",Wei Wang 0003,VLSI Design,101,"A Parallel Residue-to-binary Converter for the Moduli Set {2m-1, 220m+1, 221m+1, ..., 22km+1}.",State University of New York at Albany,2002
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad",Wei Wang 0003,ISCAS (5),102,A new architecture of RRNS error-correcting QC encoder/decoder and its FPGA implementation.,State University of New York at Albany,2002
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad,Yuke Wang",Wei Wang 0003,ICASSP,103,A parallel residue-to-binary converter.,State University of New York at Albany,1999
"Wei Wang,M. N. S. Swamy,M. Omair Ahmad,Yuke Wang",Wei Wang 0003,ISCAS (6),104,A high-speed residue-to-binary converter and a scheme for its VLSI implementation.,State University of New York at Albany,1999
"Lusheng Chen,Wei Wang,Shaoping Ling,Caiyan Jia,Fei Wang",Wei Wang 0004,Nucleic Acids Research,105,KemaDom: a web server for domain prediction using kernel machine with local context.,Fudan University,2006
"Wei Wang,Yao Zheng,Guanghua Song",Wei Wang 0005,IEEE SCC,106,The Design and Implementation of Scalable Information Services in a Grid Environment.,Zhejiang University,2005
"Guiyi Wei,Guangming Wang,Yao Zheng,Wei Wang",Wei Wang 0005,International Conference on Computational Science (1),107,The Design and Implementation of Extensible Information Services.,Zhejiang University,2005
"Guiyi Wei,Guanghua Song,Yao Zheng,Cuiju Luan,Chaoyan Zhu,Wei Wang",Wei Wang 0005,IEEE SCC,108,MASSIVE: A Multidisciplinary Applications-Oriented Simulation and Visualization Environment.,Zhejiang University,2004
"Wei Wang,Jonathan May,Kevin Knight,Daniel Marcu",Wei Wang 0006,Computational Linguistics,109,"Re-structuring, Re-labeling, and Re-aligning for Syntax-Based Machine Translation.",Language Weaver,2010
"David Chiang,Kevin Knight,Wei Wang",Wei Wang 0006,HLT-NAACL,110,"11,001 New Features for Statistical Machine Translation.",Language Weaver,2009
"Wei Wang,Kevin Knight,Daniel Marcu",Wei Wang 0006,EMNLP-CoNLL,111,Binarizing Syntax Trees to Improve Syntax-Based Machine Translation Accuracy.,Language Weaver,2007
"Steve DeNeefe,Kevin Knight,Wei Wang,Daniel Marcu",Wei Wang 0006,EMNLP-CoNLL,112,What Can Syntax-Based MT Learn from Phrase-Based MT?,Language Weaver,2007
"Michel Galley,Jonathan Graehl,Kevin Knight,Daniel Marcu,Steve DeNeefe,Wei Wang,Ignacio Thayer",Wei Wang 0006,ACL,113,Scalable Inference and Training of Context-Rich Syntactic Translation Models.,Language Weaver,2006
"Daniel Marcu,Wei Wang,Abdessamad Echihabi,Kevin Knight",Wei Wang 0006,EMNLP,114,SPMT: Statistical Machine Translation with Syntactified Target Language Phrases.,Language Weaver,2006
"Wei Wang,Kevin Knight,Daniel Marcu",Wei Wang 0006,HLT-NAACL,115,Capitalizing Machine Translation.,Language Weaver,2006
"Wei Wang,Ping Lv,Qingwei Zhao,Yonghong Yan 0002",Wei Wang 0007,IbPRIA (1),116,A Decision-Tree-Based Online Speaker Clustering.,Chinese Academy of Sciences,2007
"Wei Wang,Jean-Jacques E. Slotine",Wei Wang 0008,Neurocomputing,117,Fast computation with neural oscillators.,MIT,2006
"Wei Wang,Jean-Jacques E. Slotine",Wei Wang 0008,IEEE Trans. Automat. Contr.,118,Contraction analysis of time-delayed communications and group cooperation.,MIT,2006
"Wei Wang,Jean-Jacques E. Slotine",Wei Wang 0008,IEEE Trans. Automat. Contr.,119,A theoretical study of different leader roles in networks.,MIT,2006
"Wei Wang,Jean-Jacques E. Slotine",Wei Wang 0008,Biological Cybernetics,120,On partial contraction analysis for coupled nonlinear oscillators.,MIT,2005
"Wanyun Cui,Yanghua Xiao,Haixun Wang,Yangqiu Song,Seung-won Hwang,Wei Wang",Wei Wang 0009,PVLDB,121,KBQA: Learning Question Answering over QA Corpora and Knowledge Bases.,Fudan University,2017
"Jiaqing Liang,Yanghua Xiao,Haixun Wang,Yi Zhang,Wei Wang",Wei Wang 0009,IEEE Trans. Knowl. Data Eng.,122,Probase+: Inferring Missing Links in Conceptual Taxonomies.,Fudan University,2017
"Jiaqing Liang,Yi Zhang,Yanghua Xiao,Haixun Wang,Wei Wang,Pinpin Zhu",Wei Wang 0009,AAAI,123,On the Transitivity of Hypernym-Hyponym Relations in Data-Driven Lexical Taxonomies.,Fudan University,2017
"Yiqi Lu,Jiaqing Liang,Yanghua Xiao,Sheng Huang,Deqing Yang,Wei Wang,Haibo Lin",Wei Wang 0009,COMPSAC (1),124,XMLValue: XML Configuration Attribute Value Recommendation.,Fudan University,2017
"Wanyun Cui,Xiyou Zhou,Hangyu Lin,Yanghua Xiao,Haixun Wang,Seung-won Hwang,Wei Wang",Wei Wang 0009,AAAI,125,Verb Pattern: A Probabilistic Semantic Representation on Verbs.,Fudan University,2016
"Bo Xu,Yi Zhang,Jiaqing Liang,Yanghua Xiao,Seung-won Hwang,Wei Wang",Wei Wang 0009,DASFAA (1),126,Cross-Lingual Type Inference.,Fudan University,2016
"Bo Xu,Chenhao Xie,Yi Zhang,Yanghua Xiao,Haixun Wang,Wei Wang",Wei Wang 0009,IJCAI,127,Learning Defining Features for Categories.,Fudan University,2016
"Wanyun Cui,Yanghua Xiao,Wei Wang",Wei Wang 0009,IJCAI,128,KBQA: An Online Template Based Question Answering System over Freebase.,Fudan University,2016
"Hao Wu,Jiangyun Mao,Weiwei Sun,Baihua Zheng,Hanyuan Zhang,Ziyang Chen,Wei Wang",Wei Wang 0009,KDD,129,Probabilistic Robust Route Recovery with Spatio-Temporal Dynamics.,Fudan University,2016
"Mingxi Zhang,Hao Hu,Zhenying He,Wei Wang",Wei Wang 0009,Expert Syst. Appl.,130,Top-k similarity search in heterogeneous information networks with x-star network schema.,Fudan University,2015
"Wei Wang,Wan Hui,Du Kai,Xu Yang",Wei Wang 0009,Journal of Intelligent and Fuzzy Systems,131,On open problems based on fuzzy filters of pseudo BCK-algebras.,Fudan University,2015
"Deqing Yang,Yanghua Xiao,Hanghang Tong,Wanyun Cui,Wei Wang",Wei Wang 0009,ASONAM,132,Towards Topic Following in Heterogeneous Information Networks.,Fudan University,2015
"Deqing Yang,Jingrui He,Huazheng Qin,Yanghua Xiao,Wei Wang",Wei Wang 0009,CIKM,133,A Graph-based Recommendation across Heterogeneous Domains.,Fudan University,2015
"Hao Wu,Chuanchuan Tu,Weiwei Sun,Baihua Zheng,Hao Su,Wei Wang",Wei Wang 0009,CIKM,134,GLUE: a Parameter-Tuning-Free Map Updating System.,Fudan University,2015
"Deqing Yang,Yanghua Xiao,Hanghang Tong,Junjun Zhang,Wei Wang",Wei Wang 0009,DASFAA (1),135,An Integrated Tag Recommendation Algorithm Towards Weibo User Profiling.,Fudan University,2015
"Qing Chen,Zijing Tan,Chu He,Chaofeng Sha,Wei Wang",Wei Wang 0009,DASFAA (1),136,Repairing Functional Dependency Violations in Distributed Data.,Fudan University,2015
"Deqing Yang,Yanghua Xiao,Yangqiu Song,Wei Wang",Wei Wang 0009,ICDM,137,Semantic-Based Recommendation Across Heterogeneous Domains.,Fudan University,2015
"Xiangyan Sun,Yanghua Xiao,Haixun Wang,Wei Wang",Wei Wang 0009,IJCAI,138,On Conceptual Labeling of a Bag of Words.,Fudan University,2015
"Xiaoping Wang,Yanghua Xiao,Wei Wang",Wei Wang 0009,WAIM,139,Web Knowledge Base Improved OCR Correction for Chinese Business Cards.,Fudan University,2015
"Xiaoping Wang,Yanghua Xiao,Wei Wang",Wei Wang 0009,WAIM,140,Shortest Path and Word Vector Based Relation Representation and Clustering.,Fudan University,2015
"Kezun Zhang,Yanghua Xiao,Hanghang Tong,Haixun Wang,Wei Wang",Wei Wang 0009,CIKM,141,WiiCluster: a Platform for Wikipedia Infobox Generation.,Fudan University,2014
"Hao Hu,Mingxi Zhang,Zhenying He,Peng Wang,Wei Wang,Chengfei Liu",Wei Wang 0009,DASFAA (2),142,Topical Presentation of Search Results on Database.,Fudan University,2014
"Qiuhong Li,Peng Wang,Wei Wang,Hao Hu,Zhongsheng Li,Junxian Li",Wei Wang 0009,DASFAA (1),143,An Efficient K-means Clustering Algorithm on MapReduce.,Fudan University,2014
"Chu He,Zijing Tan,Qing Chen,Chaofeng Sha,Zhihui Wang,Wei Wang",Wei Wang 0009,DASFAA (2),144,Repair Diversification for Functional Dependency Violations.,Fudan University,2014
"Qiyang Duan,Mingxi Wu,Peng Wang,Wei Wang,Yu Cao",Wei Wang 0009,DEXA (2),145,A Probabilistic Approach to Detect Local Dependencies in Streams.,Fudan University,2014
"Philip S. Yu,Masaru Kitsuregawa,Hiroshi Motoda,Bart Goethals,Minyi Guo,Longbing Cao,George Karypis,Irwin King,Wei Wang",Wei Wang 0009,DSAA,146,Welcome from DSAA 2014 chairs.,Fudan University,2014
"Wanyun Cui,Yanghua Xiao,Haixun Wang,Wei Wang",Wei Wang 0009,SIGMOD Conference,147,Local search of communities in large graphs.,Fudan University,2014
